temp,feel_temp,weather,gender,outer,top,bottom,inner,accessories
18,19,눈,남,후드집업,맨투맨,청바지,얇은 이너,"부츠, 장갑"
31,31,눈,남,없음,민소매,면반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
27,24,비,여,없음,민소매,치마,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
4,0,눈,남,롱패딩,히트텍,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
33,34,눈,여,없음,민소매,치마,없음,"모자, 부츠, 선글라스, 양산, 장갑"
-2,-4,눈,여,패딩,히트텍,기모치마,히트텍,"목도리, 부츠, 장갑, 핫팩"
35,33,흐림,여,없음,민소매,치마,없음,"모자, 선글라스, 양산"
34,36,맑음,남,없음,민소매,반바지,없음,"모자, 선글라스, 양산"
22,24,비,남,후드집업,후드티,면바지,없음,"레인부츠, 우산"
33,29,눈,여,없음,반팔,치마,없음,"모자, 부츠, 선글라스, 양산, 장갑"
8,8,눈,남,롱패딩,히트텍,기모청바지,히트텍,"부츠, 장갑"
25,26,눈,여,얇은 가디건,민소매,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
8,9,맑음,남,패딩,기모후드,기모바지,히트텍,없음
22,22,비,여,가디건,맨투맨,롱스커트,없음,"레인부츠, 우산"
16,14,눈,여,가디건,맨투맨,롱스커트,얇은 이너,"부츠, 장갑"
22,19,비,여,자켓,긴팔티,롱스커트,얇은 이너,"레인부츠, 우산"
-7,-11,맑음,남,롱패딩,히트텍,기모청바지,히트텍,"목도리, 장갑, 핫팩"
-1,-1,눈,남,롱패딩,니트,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
-6,-4,비,여,롱패딩,니트,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
21,22,흐림,남,후드집업,후드티,청바지,없음,없음
5,6,눈,남,패딩,히트텍,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
25,20,흐림,남,없음,민소매,면반바지,없음,"모자, 선글라스, 양산"
